iter	RMSE
0	16.49288919
1	16.43384273
2	16.37416767
3	16.31458686
4	16.25798899
5	16.19987458
6	16.14148924
7	16.08509028
8	16.02724723
9	15.97016487
10	15.91266765
11	15.85786368
12	15.8018266
13	15.74610317
14	15.69054341
15	15.63556173
16	15.58234419
17	15.52761589
18	15.4741781
19	15.42089936
20	15.36822142
21	15.31562094
22	15.26328806
23	15.21104715
24	15.15946709
25	15.10693576
26	15.05572531
27	15.00468947
28	14.9541231
29	14.90327692
30	14.85249914
31	14.80318767
32	14.75416871
33	14.70462795
34	14.65426185
35	14.60517934
36	14.55627639
37	14.50750217
38	14.45870714
39	14.41056388
40	14.36451731
41	14.31777814
42	14.27137731
43	14.22507336
44	14.17890294
45	14.13189128
46	14.08622212
47	14.0409976
48	13.99556924
49	13.95126056
50	13.90712505
51	13.86230639
52	13.81830858
53	13.7755263
54	13.7315977
55	13.68838384
56	13.64600881
57	13.60295453
58	13.5604484
59	13.51913286
60	13.47728419
61	13.43558178
62	13.39346013
63	13.35381042
64	13.31209878
65	13.27116233
66	13.23032316
67	13.19002238
68	13.15094749
69	13.11155705
70	13.07237931
71	13.0342904
72	12.99515418
73	12.95677086
74	12.91735858
75	12.87900046
76	12.84142706
77	12.80404236
78	12.76603603
79	12.72999134
80	12.69162088
81	12.65496013
82	12.61872287
83	12.58226409
84	12.54580099
85	12.51014608
86	12.47397847
87	12.43908099
88	12.40430055
89	12.36855316
90	12.33491582
91	12.29989593
92	12.2664656
93	12.23232051
94	12.19868754
95	12.16403498
96	12.12998254
97	12.09657703
98	12.06415127
99	12.03180181
100	11.99977552
101	11.96779227
102	11.93610877
103	11.90465143
104	11.87338021
105	11.84274475
106	11.81080097
107	11.78024733
108	11.7504873
109	11.72031447
110	11.69011506
111	11.66017159
112	11.62921129
113	11.59870483
114	11.56852829
115	11.53880371
116	11.50996004
117	11.48018618
118	11.45086384
119	11.42193341
120	11.39297073
121	11.36412573
122	11.3352855
123	11.30861552
124	11.28030554
125	11.25351963
126	11.22680861
127	11.19964078
128	11.17237115
129	11.14621462
130	11.11959563
131	11.09349162
132	11.067617
133	11.04127682
134	11.01460161
135	10.98898067
136	10.96385423
137	10.93737156
138	10.91171854
139	10.88713781
140	10.86252699
141	10.83805376
142	10.8134266
143	10.7886473
144	10.76406588
145	10.73891765
146	10.71448349
147	10.69166903
148	10.66810867
149	10.64403194
150	10.62055661
151	10.59733581
152	10.57344203
153	10.55023217
154	10.52781174
155	10.50537572
156	10.48334039
157	10.46159438
158	10.43993738
159	10.41761282
160	10.395708
161	10.37402697
162	10.35299382
163	10.3311815
164	10.31039848
165	10.28913184
166	10.26896106
167	10.24836903
168	10.22803107
169	10.20768958
170	10.18808502
171	10.16821818
172	10.14761825
173	10.12721443
174	10.10789669
175	10.08844257
176	10.06973104
177	10.05037713
178	10.03165298
179	10.0129399
180	9.993308731
181	9.974300499
182	9.95535528
183	9.936969548
184	9.917876936
185	9.899218409
186	9.881018787
187	9.863356671
188	9.845501769
189	9.827141885
190	9.810011117
191	9.792372116
192	9.774014277
193	9.757121239
194	9.739264417
195	9.722569039
196	9.706171864
197	9.688708085
198	9.672431709
199	9.656758748
200	9.640424414
201	9.624398316
202	9.608082767
203	9.592057299
204	9.576261796
205	9.560601151
206	9.544200968
207	9.528437552
208	9.51322266
209	9.498674412
210	9.483952448
211	9.468140153
212	9.45281923
213	9.43825067
214	9.423771102
215	9.408559882
216	9.394786306
217	9.381083639
218	9.367623694
219	9.353919775
220	9.339515895
221	9.325629369
222	9.311444144
223	9.297758062
224	9.283884879
225	9.270106129
226	9.256791698
227	9.242430382
228	9.228747956
229	9.215466319
230	9.202321626
231	9.189243873
232	9.175506683
233	9.162783836
234	9.149608406
235	9.136780728
236	9.124764686
237	9.11163903
238	9.09974441
239	9.086961718
240	9.074396366
241	9.062524147
242	9.050844894
243	9.038409119
244	9.027135619
